Wavelength,N I,N II,N III,O I,O II,O III
453.5285,,,,,,1.008e+0
453.8851,,,,,,1.343e+0
453.97,,,2.047e+1,,,
454.482,,,6.469e+0,,,
454.484,,,4.082e+1,,,
454.633,,,5.643e+1,,,
454.73,,,3.210e+0,,,
455.5387,,,,,,4.965e+0
455.773,,,,,5.046e-4,
455.7913,,,,,,1.648e+0
455.894,,,,,2.807e-4,
456.926,,,,,,1.664e+1
458.7721,,,,,,4.884e+0
459.0974,,,,,4.125e-3,
459.198,,,2.604e+1,,,
459.5957,,,,,1.701e-4,
459.6177,,,,,2.913e-3,
460.1478,,1.497e-3,,,,
460.516,,,1.237e+1,,,
460.7153,,1.274e-3,,,,
461.055,,,3.660e+1,,,
461.0608,,,,,,1.438e+1
461.3868,,8.559e-4,,,,
461.541,,,1.101e+1,,,
461.639,,,2.854e+1,,,
462.104,,,1.129e+1,,,
462.1393,,1.215e-3,,,,
462.305,,,3.552e+0,,,
463.0539,,5.011e-3,,,,
463.061,,,3.574e+0,,,
463.0773,,,,,,3.789e+0
463.413,,,1.018e+2,,,
463.64,,,2.229e+0,,,
463.88558,,,,,1.093e-3,
464.064,,,1.823e+2,,,
464.18103,,,,,2.653e-3,
464.185,,,2.014e+1,,,
464.196,,,1.197e+1,,,
464.3086,,1.761e-3,,,,
464.604,,,1.108e+1,,,
464.91347,,,,,4.726e-3,
464.9973,,,,,,2.798e+0
465.08384,,,,,1.013e-3,
465.4531,,1.280e-4,,,,
466.16324,,,,,1.218e-3,
466.291,3.405e-10,,,,,
466.8875,,,,,,3.667e+0
467.068,6.078e-10,,,,,
467.3487,,,,,,4.558e+0
467.37331,,,,,1.865e-4,
467.4908,,1.135e-4,,,,
467.6235,,,,,9.228e-4,
467.983,,,2.674e+0,,,
469.0888,,,,,3.110e-4,
469.1419,,,,,6.212e-4,
469.4274,,1.942e-4,,,,
469.5899,,3.393e-4,,,,
469.8437,,,,,1.704e-4,
469.8554,,1.930e-4,,,,
469.9011,,,,,3.405e-3,
469.9218,,,,,3.041e-3,
470.0032,,3.862e-4,,,,
470.1179,,,,,1.540e-3,
470.1712,,,,,3.078e-4,
470.2503,,2.403e-4,,,,
470.3161,,,,,2.376e-3,
470.4247,,3.356e-4,,,,
470.5346,,,,,4.878e-3,
470.64,,2.876e-4,,,,
470.9584,,6.681e-4,,,,
471.0009,,,,,9.664e-4,
471.2065,,3.827e-4,,,,
471.8377,,1.423e-3,,,,
472.1577,,2.838e-4,,,,
474.1704,,,,,1.632e-4,
475.1278,,,,,2.739e-4,
476.463,,,,,,7.085e-1
477.3753,,,,3.239e-10,,
477.4244,,1.620e-4,,,,
477.6224,,2.095e-4,,,,
477.9722,,7.876e-4,,,,
478.119,,1.416e-4,,,,
478.8138,,1.315e-3,,,,
479.3648,,2.438e-4,,,,
480.3287,,2.327e-3,,,,
481.0299,,2.488e-4,,,,
485.6389,,,,,1.755e-4,
485.6762,,,,,2.097e-4,
485.87,,,3.043e+1,,,
485.898,,,4.887e+1,,,
486.0965,,,,,7.655e-4,
486.127,,,7.430e+1,,,
486.712,,,1.208e+1,,,
486.717,,,1.077e+2,,,
487.1523,,,,,1.365e-3,
487.2017,,,,,1.518e-4,
487.31,,,2.905e+0,,,
487.36,,,1.568e+1,,,
488.414,,,1.211e+1,,,
489.0856,,,,,5.319e-4,
489.5117,,1.246e-4,,,,
489.714,,,2.698e+0,,,
489.91,,,1.349e+1,,,
490.478,,,2.418e+1,,,
490.683,,,,,9.946e-4,
492.4529,,,,,1.690e-3,
494.1072,,,,,1.219e-3,
494.3005,,,,,2.384e-3,
495.5707,,,,,3.644e-4,
496.7884,,,,2.949e-10,,
496.8794,,,,5.704e-10,,
498.7376,,6.923e-4,,,,
499.1243,,1.113e-3,,,,
499.436,,1.152e-3,,,,
499.437,,2.113e-3,,,,
499.7224,,3.694e-4,,,,
500.1134,,4.918e-3,,,,
500.1474,,7.415e-3,,,,
500.2703,,3.168e-4,,,,
500.515,,1.043e-2,,,,
500.53,,2.041e-4,,,,
500.7328,,3.674e-3,,,,
501.0621,,7.975e-4,,,,
501.1314,,1.098e-3,,,,
501.2036,,2.274e-3,,,,
501.6381,,8.079e-4,,,,
502.0218,,,,2.471e-10,,
502.3053,,1.128e-3,,,,
502.5659,,7.379e-4,,,,
504.5099,,1.271e-3,,,,
504.6538,,1.038e-4,,,,
508.8922,,,,,,1.098e+0
510.4445,,2.629e-4,,,,
510.674,,,1.419e+0,,,
515.9941,,,,,3.048e-4,
516.805,,7.313e-4,,,,
517.0156,,9.375e-4,,,,
517.1266,,4.161e-4,,,,
517.1469,,1.942e-3,,,,
517.2344,,1.470e-3,,,,
517.2973,,7.355e-4,,,,
517.3385,,2.520e-3,,,,
517.4462,,1.210e-3,,,,
517.589,,3.927e-3,,,,
517.5903,,,,,1.422e-4,
517.6573,,3.107e-4,,,,
517.7058,,7.335e-4,,,,
517.9344,,3.720e-3,,,,
517.9521,,5.744e-3,,,,
518.0358,,1.046e-3,,,,
518.32,,9.607e-4,,,,
518.4961,,1.093e-3,,,,
518.5087,,1.041e-4,,,,
518.6206,,1.372e-4,,,,
519.038,,7.762e-4,,,,
519.0498,,,,,2.295e-4,
519.1965,,1.036e-4,,,,
520.1606,4.093e-10,,,,,
520.6651,,,,,6.458e-4,
526.252,,,9.589e+0,,,
526.8301,,,,,,8.369e+0
526.904,,,1.717e+1,,,
527.057,,,4.158e+0,,,
527.179,,,1.903e+0,,,
527.268,,,4.155e+0,,,
529.775,,,4.405e+0,,,
529.895,,,4.392e+0,,,
531.3424,,1.979e-4,,,,
531.436,,,1.015e+1,,,
532.0202,,5.889e-4,,,,
532.087,,,6.439e+1,,,
532.0958,,5.890e-4,,,,
532.719,,,4.499e+1,,,
532.7756,,1.085e-4,,,,
532.9099,,,,2.882e-10,,
532.9681,,,,3.738e-10,,
532.969,,,,5.996e-10,,
533.0735,,,,2.987e-10,,
533.0741,,,,1.154e-9,,
