Wavelength,H I,O I,O II,O III
1123.544,,,,1.920e-22
1126.489,,,,4.241e-22
1128.6317,,5.173e+5,,
1128.6406,,1.726e+5,,
1128.6914,,9.646e+5,,
1128.7029,,1.726e+5,,
1128.7318,,2.301e+5,,
1129.5103,,1.527e+5,,
1129.7682,,2.544e+5,,
1130.2378,,3.572e+5,,
1132.159,,,,7.711e-22
1134.914,,,,1.385e-22
